,0
const,71.05258460406885
Region_Asia,0.09993456630619331
Region_Central America and Caribbean,1.5820964246379567
Region_European Union,-1.0539161600525286
Region_Middle East,-0.19850055674433767
Region_North America,0.013216475587490303
Region_Oceania,-1.4878401884375352
Region_Rest of Europe,-0.018879501278897988
Region_South America,1.3377398097901152
Under_five_deaths,-4.652364707046848
Adult_mortality,-6.316608471940231
Hepatitis_B,-0.1085400256717345
GDP_per_capita,0.27620453683744256
Schooling,0.49090001025779234
Economy_status_Developed,2.7250961317815343
